Name,Address,Latitude,Longitude,Postal Code,Region_new
Airbos Systems Management Ltd.,"389B Ashley Street, P.O. Box 168, Ontario , Foxboro, K0K 2B0",44.2426931,-77.4333083,K0K 2B0,Eastern
Atlantic Compressed Air / Comairco,"2920 Sheffield Rd, Ottawa, ON K1B 1A4",45.3957983,-75.6017254,K1B 1A4,Eastern
MPS Metro Automotive & Industrial Supplies,"1580 Laperriere Ave Ottawa, ON K1Z 7T2",45.3761734,-75.7454708,K1Z 7T2,Eastern
Eastern Fluid Power Inc.,"1120 Clyde Court, Kingston, Ontario, K7P 2E4",44.2660719,-76.5624045,K7P 2E4,Eastern
Valley Compressor,"1376 Pembroke Street East, Pembroke, ON K8A 6W2",45.8030375,-77.0666132,K8A 6W2,Eastern
Eastern Fluid Power Inc.,"240 Adam Street, Unit 6, Belleville, Ontario, K8N 5S4",44.1929203,-77.378874,K8N 5S4,Eastern
Cavalier Industries Ltd.,"8A-4256 Carroll Avenue, Niagara Falls, Ontario, L2E 7J2",43.1122746,-79.0956605,L2E 7J2,Central
United Refrigeration,"130 Riviera Dr, Markham, ON L3R 5M1",43.8334017,-79.3399548,L3R 5M1,Central
Commercial Air Compressor Ltd.,"95 Konrad Crescent, Markham, Ontario L3R 8T8",43.8324779,-79.3568521,L3R 8T8,Central
Compressed Air International,"60 Haist Ave, Unit #1, Woodbridge, Ontario, L4L 5V4",43.7804281,-79.5651731,L4L 5V4,Central
Omega Compressors,"63 Morrow Rd, Barrie, ON L4N 3V7",44.3623204,-79.7018608,L4N 3V7,Central
DV Systems,"490 Welham Rd, Barrie, ON L4N 8Z4",44.3457831,-79.6703831,L4N 8Z4,Central
Centrair Air Systems & Supplies,"68 Hooper Rd, Unit #5, Barrie, ON L4N 8Z9",44.336442,-79.6726193,L4N 8Z9,Central
CRU AIR + GAS,"8-4995 Timberlea Blvd. Mississauga, ON L4W 2S2",43.6279437,-79.6356484,L4W 2S2,Central
CompreVac,"3067 Jarrow Ave, Mississauga, ON L4X 2C6",43.6149289,-79.581498,L4X 2C6,Central
Wainbee,"5789 Coopers Avenue, Mississauga, ON L4Z 3S6",43.6336966,-79.6604728,L4Z 3S6,Central
Sigma Compressor Inc.,"27-6433 Charing Drive Mississauga, Ontario, L5N 1L6",43.6060329,-79.7246237,L5N 1L6,Central
"Sauer Compressors Canada, Inc.","6975 Meadowvale Town Centre, Cir #9, Unit #609, Mississauga, ON L5N 2V7",43.581938,-79.7579496,L5N 2V7,Central
Mayekawa Canada Inc.,"Unit 1, 1745 Bonhill Road, Mississauga, Ontario, L5T 1C1",43.6672588,-79.6515323,L5T 1C1,Central
NCA Ltd,"6890 Davand Drive Mississauga, Ontario Canada L5T 1J5",43.6712308,-79.6734524,L5T 1J5,Central
KinEquip,"333 Wyecroft Rd., Unit 8, Oakville, Ont. L6K 2H2",43.4428818,-79.7013348,L6K 2H2,Central
Compressed Fluidpower Services Ltd.,"3938 Cottrelle Boulevard, Brampton, ON L6P 2W7",43.7847274,-79.6622269,L6P 2W7,Central
Dynamic Air Compressor Services,"8 Automatic Road, Unit 3C, Brampton, ON L6S 5N4",43.7554547,-79.7099143,L6S 5N4,Central
Mac-Air Compressor Ltd.,"18 Melanie Dr, Brampton, ON L6T 4K9",43.7096127,-79.6797662,L6T 4K9,Central
NatPro,"109 Wilkinson Road, Brampton, Ontario, Canada L6T 4X1",43.6918244,-79.7009917,L6T 4X1,Central
Premier Fluid Systems Inc.,"4161 Morris Drive, Unit 5, Burlington, ON, Canada L7L 5L5",43.3683544,-79.782467,L7L 5L5,Central
Compressors For Manufacturing (CFM),"5035 North Service Road, Unit D18, Burlington, Ontario, L7L 5V2",43.3855536,-79.773981,L7L 5V2,Central
ReapAir Compressor Services,"4450 Mainway, Burlington, Ontario, L7L 5Y5",43.3835997,-79.7841853,L7L 5Y5,Central
GTA Compressor Solutions Inc.,"3335 North Service Road Unit #103, Burlington, Ontario, L7N 3G2",43.3631768,-79.7964902,L7N 3G2,Central
Barton Air Compressor S & SER,"76 Biggar Ave, Hamilton, ON L8L 3Z4",43.259489,-79.8306469,L8L 3Z4,Central
Air Solutions Canada,"29 Innovation Dr, Dundas, ON L9H 7L8",43.3095164,-79.9152911,L9H 7L8,Central
Industrial & Compressed Air Products Ltd. (ICAP),"50 Venture Drive, Unit 6, Toronto, Ontario M1B 3L6",43.804769,-79.198528,M1B 3L6,Toronto
Compressor Repairs Ltd.,"191 Nugget Avenue, Toronto, ON M1S 3B1",43.7943012,-79.2529559,M1S 3B1,Toronto
Len's Equipment Ltd.,"3500 Pharmacy Ave, Unit 6, Toronto, ON M1W 2T6",43.8097727,-79.3346946,M1W 2T6,Toronto
Atlantic Compressed Air / Comairco,"110 Norfinch Drive #10, North-York, ON M3N 1X1",43.7604944,-79.5292974,M3N 1X1,Toronto
Trident Compressed Air Ltd.,"4009 Provincial Rd, Maidstone, ON N0R 1K0",42.2435365,-82.9519258,N0R 1K0,Southwest
Ontario Comperssor Supplies Ltd.,"2145 Solar Cresc., R.R. #1, Oldcastle, Windsor, Ontario N0R 1L0",42.2350147,-82.9683529,N0R 1L0,Southwest
Musselman Compressor Services Inc.,"1-500 Bingemans Centre Drive, Kitchener, Ontario, N2B 3X9",43.4720597,-80.4469288,N2B 3X9,Southwest
Wainbee,"65 Trillium Park Place #14, Kitchener, ON N2E 1X1",43.3994455,-80.4623811,N2E 1X1,Southwest
Sigma Compressor Inc.,"31 Tamara Place, Unit 4, Brantford,Ontario, N3P 1M8",43.1777925,-80.2391775,N3P 1M8,Southwest
United Compressed Air Inc.,"47 Copernicus Blvd. Unit #1, Brantford, ON N3P 1N4",43.180406,-80.2419831,N3P 1N4,Southwest
Atlantic Compressed Air / Comairco,"317 Adelaide Street South, London, ON N5Z 3L3",42.9599023,-81.2168692,N5Z 3L3,Southwest
NCA Ltd,"480 Newbold Street London, Ontario N6E 1K6",42.9350926,-81.206525,N6E 1K6,Southwest
Compressor Engineering Group Inc.,"110 Bessemer Road, London Ontario N6E 1R2",42.932568,-81.2126977,N6E 1R2,Southwest
London Compressed Air Inc.,"133-134 4096 Meadowbrook Drive, London, ON N6L 1G4",42.919211,-81.265621,N6L 1G4,Southwest
Kent Compressor Inc.,"12289 County Rd 42, Tecumseh, ON N8N 0H2",42.278722,-82.8784156,N8N 0H2,Southwest
Atlantic Compressed Air / Comairco,"1476 Falconbridge Road Unit 6, Sudbury, ON P3A 4N5",46.5274712,-80.9099942,P3A 4N5,Northern
NCA Ltd,"98 Fielding Road, Lively, Ontario, Canada P3Y 1L5",46.4432784,-81.0983782,P3Y 1L5,Northern
HABCO,"501 Gordon Baker Road, Toronto, Ontario, M2H 2S6",43.8091375,-79.3435633,M2H 2S6,Toronto
QBD Cooling Systems,"31 Bramsteele Rd. Brampton, Ontario Canada L6W 3K6",43.6831103,-79.7170203,L6W 3K6,Central
Canadian Curtis Refrigeration,"4550 Highway 7, Suite 220, Vaughan, ON L4L 4Y7",43.784407,-79.5746549,L4L 4Y7,Central
Canadian Curtis Refrigeration,"881 Arvin Ave, Stoney Creek, ON L8E 5N8",43.2207115,-79.6788893,L8E 5N8,Central
Cool Master Refrigeration,"8301 Keele Street, Concord, ON â€“ L4K 1Z6",43.8164134,-79.502375,L4K 1Z6,Central
United Refrigeration Inc,"90 Commercial Avenue, Ajax, ON L1S 2H5",43.8497323,-79.0238036,L1S 2H5,Central
United Refrigeration Inc,"25 Lorena St. Unit 1, Barrie, ON L4N 3H5",44.3757887,-79.7027106,L4N 3H5,Central
United Refrigeration Inc,"919 Fraser Dr. #1&2, Burlington, ON L7L 4X8",43.3669509,-79.7824336,L7L 4X8,Central
United Refrigeration Inc,"41 Horner Ave., Etobicoke, ON M8z 4X4",43.6156775,-79.5176395,M8z 4X4,Toronto
United Refrigeration Inc,"Unit 4, 398 Nash Road, Hamilton, ON L8H 7P5",43.2427172,-79.7678675,L8H 7P5,Central
United Refrigeration Inc,"95 Bessemer Road, #3-5, London, ON N6E 1P9",42.9313607,-81.2109973,N6E 1P9,Southwest
United Refrigeration Inc,"140 Railway Street, Kingston, ON K7K 2L9",44.2478532,-76.493077,K7K 2L9,Eastern
United Refrigeration Inc,"131A Carlauren Road, Vaughan ON L4L 8A8",43.7989523,-79.5451021,L4L 8A8,Central
United Refrigeration Inc,"483A Eastchester Ave E, St. Catharines, ON L2M 6S2",43.1702825,-79.2027274,L2M 6S2,Central
United Refrigeration Inc,"120 Milner Avenue, Unit 1, Scarborough, ON M1S 3R2",43.7848842,-79.2493099,M1S 3R2,Toronto
United Refrigeration Inc,"6200 Dixie Rd #14, Mississauga, ON L5T 2E1",43.6583456,-79.6536728,L5T 2E1,Central
United Refrigeration Inc,"1230 Old Innes Rd, Ottawa, ON K1B 3V3",45.4079758,-75.6151192,K1B 3V3,Eastern
United Refrigeration Inc,"130 Riviera Drive, Markham, ON L3R 5M1",43.8334017,-79.3399548,L3R 5M1,Central
United Refrigeration Inc,"500 Trillium Drive, Units 9 & 10, Kitchener, ON N2R 1A7",43.4025122,-80.4700955,N2R 1A7,Southwest
Hobart Food Equipment Canada,"105 Gordon Baker Road, Suite 801, Toronto, Ontario, M2H 3P8",43.8013853,-79.3436514,M2H 3P8,Toronto
Ancaster Food Equipment,"396 Henry Street, Brantford, ON N3S 7W1",43.158027,-80.216875,N3S 7W1,Southwest
Celco,"585 Secretariat Court, Mississauga, Ontario, L5S 2A5",43.6610176,-79.6981788,L5S 2A5,Central